"DATE","IC4WSA"
"1989-09-02",332250
"1989-09-09",331000
"1989-09-16",332750
"1989-09-23",333250
"1989-09-30",337750
"1989-10-07",355500
"1989-10-14",358250
"1989-10-21",361500
"1989-10-28",363250
"1989-11-04",344750
"1989-11-11",342500
"1989-11-18",339750
"1989-11-25",336750
"1989-12-02",339500
"1989-12-09",340000
"1989-12-16",344750
"1989-12-23",354500
"1989-12-30",358000
"1990-01-06",362250
"1990-01-13",365750
"1990-01-20",364250
"1990-01-27",361000
"1990-02-03",364250
"1990-02-10",363750
"1990-02-17",357000
"1990-02-24",358250
"1990-03-03",354000
"1990-03-10",349500
"1990-03-17",349750
"1990-03-24",345000
"1990-03-31",343750
"1990-04-07",348250
"1990-04-14",350250
"1990-04-21",357500
"1990-04-28",361750
"1990-05-05",358500
"1990-05-12",358000
"1990-05-19",356250
"1990-05-26",355250
"1990-06-02",358750
"1990-06-09",359750
"1990-06-16",361250
"1990-06-23",362000
"1990-06-30",361000
"1990-07-07",361750
"1990-07-14",363750
"1990-07-21",365750
"1990-07-28",367000
"1990-08-04",368750
"1990-08-11",372250
"1990-08-18",378000
"1990-08-25",384250
"1990-09-01",390000
"1990-09-08",392250
"1990-09-15",392750
"1990-09-22",391500
"1990-09-29",394500
"1990-10-06",398000
"1990-10-13",404750
"1990-10-20",416250
"1990-10-27",425250
"1990-11-03",431750
"1990-11-10",438250
"1990-11-17",441250
"1990-11-24",446750
"1990-12-01",452000
"1990-12-08",452250
"1990-12-15",452250
"1990-12-22",455250
"1990-12-29",456000
"1991-01-05",447500
"1991-01-12",445000
"1991-01-19",437750
"1991-01-26",439750
"1991-02-02",456750
"1991-02-09",467500
"1991-02-16",474750
"1991-02-23",484000
"1991-03-02",485250
"1991-03-09",490000
"1991-03-16",496000
"1991-03-23",498500
"1991-03-30",501250
"1991-04-06",489500
"1991-04-13",484250
"1991-04-20",476500
